,X,Y,Z,Roll,Pitch,Yaw
0,0,0,0,-0,0,-0
1,0.81657,0.346963,-0.0852885,0.0809215,0.069167,-1.85309
2,0.876712,0.123665,0.47484,0.142726,0.525989,-4.64701
3,2.0455,0.526093,0.187314,0.224362,0.644994,-7.98865
4,2.5815,0.891919,0.00825072,0.391025,0.4512,-7.48249
5,2.09282,0.37615,0.104466,0.529249,0.272617,-4.67771
6,2.05983,0.744148,0.0551209,0.762979,0.0677139,-3.28621
7,1.87848,1.3837,-0.429773,1.00539,-0.477829,0.421396
8,1.77444,1.3798,-0.497696,1.11731,-0.977467,4.01426
9,1.97891,1.64249,-0.412432,1.32124,-1.39925,5.71832
10,2.04696,2.01336,-0.567455,1.44226,-1.24636,3.46249
11,2.09627,2.03661,-0.133765,1.68477,-1.2652,3.08123
12,2.4488,1.98574,-0.0870045,1.75031,-1.5819,4.61524
13,1.7999,1.87949,0.238384,1.96932,-0.720573,-0.70251
14,1.81446,1.87507,0.0662424,2.00873,-0.679705,-1.55365
15,0.403196,0.801832,0.244757,1.95867,-0.648618,0.446747
16,0.24916,0.915418,-0.0322218,1.93944,-0.932002,2.51395
17,0.399614,0.906767,-0.391163,1.85209,-1.04385,2.76506
18,0.632643,0.99601,-0.579664,1.87344,-0.873018,0.631489
19,0.830083,1.24287,-0.452823,1.93166,-0.768865,-0.526841
20,1.12789,0.800929,-0.199834,1.9041,-0.060731,-6.56732
21,1.2834,0.73371,-0.0374838,1.95187,-0.0221739,-7.60021
22,1.30371,0.27463,-0.0526155,1.88755,-0.0495062,-7.74286
23,1.1093,0.029363,0.111219,1.85423,0.250446,-9.87691
24,1.09301,0.572776,-0.119859,1.96234,-0.264782,-6.52527
25,1.40346,0.544291,-0.52282,1.92355,-0.774022,-3.89729
26,0.921851,0.652876,-0.169051,2.01475,-1.16624,-0.236908
27,0.738642,0.870055,-0.15832,2.09248,-1.12129,-0.428854
28,1.25699,1.41876,-0.0240021,2.1791,-1.69537,2.24742
29,1.69348,1.61144,0.347506,2.19729,-1.88315,2.91906
30,2.12063,2.1355,0.343576,2.26357,-2.01998,2.7314
31,2.14738,1.74037,0.115604,2.1519,-1.73869,0.305802
32,1.78337,1.48776,0.060194,2.08983,-1.68278,0.898296
33,1.24043,1.56351,0.235546,2.10531,-1.54913,1.25568
34,1.1501,1.6323,-0.164192,2.00391,-1.3636,0.319479
35,1.03427,1.98972,-0.265196,1.95587,-1.90987,5.35966
36,0.612342,1.7066,0.0822593,1.95096,-1.89405,7.00799
37,0.645079,1.6279,0.0121218,1.94998,-1.8468,7.23853
38,0.943764,1.78003,-0.0873847,1.95502,-1.87144,6.97074
39,0.790106,0.867256,0.152777,1.90475,-1.22181,3.12218
40,0.740637,0.865287,0.684835,2.07068,-0.726049,-0.365297
41,1.17957,0.732644,0.740788,2.03983,-0.23293,-5.00573
42,1.23203,0.201694,0.704486,1.91965,-0.175139,-5.79988
43,0.720223,0.228944,1.04435,1.97009,0.0720099,-6.1355
44,0.0444159,0.236237,1.09985,1.88377,0.513012,-6.49221
45,0.0914824,0.321159,1.07695,1.94929,0.039752,-2.11513
46,0.468587,0.257813,1.2669,2.04033,-0.163509,-0.534435
47,0.748276,0.392897,1.4833,2.13795,-0.388462,0.749462
48,1.20202,0.478258,1.61447,2.15043,-0.409694,0.367199
49,1.64325,0.407415,2.12265,2.31513,-0.580519,1.26376
50,1.87518,0.497295,2.84516,2.50824,-0.0627345,-2.09316
51,2.34229,0.831578,2.97926,2.63849,0.100993,-4.08988
52,2.70786,0.761717,3.09717,2.92917,-0.290461,-2.54553
53,1.92071,0.209428,3.66091,3.06224,-0.223949,-1.43017
54,2.10758,0.239332,3.68073,3.27792,-0.956906,2.62894
55,2.39684,0.546811,3.513,3.34046,-1.53553,5.56059
56,2.31445,0.657941,3.85515,3.51855,-1.56458,6.39032
57,2.09107,0.733251,4.16346,3.69984,-1.48283,6.33101
58,2.38191,0.989671,4.73909,3.99554,-1.29147,4.41876
59,2.60781,0.953947,5.12779,4.14571,-1.49983,5.20134
60,2.82669,0.86871,5.44431,4.24122,-1.11481,2.87567
61,2.31851,0.568218,5.49329,4.22002,-0.681359,1.49004
62,2.03753,0.172694,5.63372,4.18022,-0.835365,3.22104
63,1.41605,-0.537258,5.81736,4.03377,0.0732859,0.237647
64,1.49532,-0.258114,5.51027,3.9428,0.19542,0.680749
65,1.823,-0.238608,5.38591,3.87716,0.369555,-0.21357
66,1.91274,-0.197015,5.3993,3.88571,0.557412,-0.324855
67,2.21957,0.107455,5.44413,3.93262,0.751622,-0.533275
68,2.48362,0.0613372,5.30052,3.79892,1.27093,-3.40967
69,2.28376,-0.00021735,5.89438,3.83808,1.80629,-5.40868
70,2.10954,-0.332702,6.08296,3.80596,1.80637,-4.89959
71,2.08915,-0.308655,6.20822,3.77042,1.60799,-4.32576
72,2.2513,0.109054,5.94169,3.74948,1.2785,-3.05985
73,2.22499,0.274406,5.54876,3.53641,0.890622,-0.311908
74,2.01928,0.240893,5.63971,3.38936,1.33381,-1.50209
75,2.26369,-0.058356,5.40004,3.24396,1.39247,-1.47711
76,2.63388,0.0441691,5.74795,3.38288,1.3672,0.0778923
77,2.64452,0.0426262,5.95657,3.41659,1.57612,0.104179
78,3.52105,0.697738,5.88234,3.70308,1.33402,1.02254
79,3.90376,0.899551,6.20488,4.02255,0.812172,3.63227
80,3.69172,0.338695,6.37849,4.00112,1.33925,0.983854
81,3.65707,0.325215,6.66101,4.10914,1.45981,0.191397
82,3.73077,0.227724,7.24104,4.33085,1.24289,1.00264
83,3.59667,-0.0747169,7.33404,4.40483,0.93826,2.59189
84,3.63503,0.154087,7.88549,4.72392,0.717011,2.98116
85,3.92631,0.527373,7.97253,4.85656,0.756483,1.43024
86,3.83264,0.266124,7.97452,4.83949,1.1164,-1.11232
87,3.67501,-0.114064,8.97526,5.04399,1.90674,-5.05157
88,3.7378,-0.177842,9.01746,5.10035,2.07966,-6.13335
89,3.71563,-0.30967,9.51499,5.46102,1.74472,-3.98604
90,3.65918,-0.36484,9.7904,5.56892,1.89103,-4.51102
91,3.64924,-0.630985,9.8144,5.64624,1.88642,-4.3128
92,3.77001,-1.03075,10.0834,5.67365,1.953,-4.62756
93,4.19079,-1.24839,10.3135,5.69457,2.09853,-5.99375
94,3.87005,-1.69706,10.5931,5.66117,2.19592,-6.02303
95,3.71408,-1.87164,10.9399,5.64458,2.20625,-5.46661
96,3.85823,-1.5136,10.94,5.68906,1.97205,-4.35174
97,3.31166,-1.41714,10.9678,5.76153,1.53599,-1.09152
98,3.45744,-1.00175,11.2171,5.95152,1.47667,-0.739438
99,3.91306,-0.532665,11.0811,6.15705,0.92567,0.471123
100,3.89563,-0.529463,10.8391,6.18127,0.645933,1.32938
101,3.92528,-0.663779,10.8643,6.23682,0.510926,1.62116
102,3.52653,-0.696851,10.7581,5.87244,0.830744,1.01489
103,3.33854,-0.933136,11.1037,5.84373,0.63622,2.65583
104,3.245,-0.691557,11.2244,5.67921,1.10973,0.488122
105,3.41469,-0.559184,11.1396,5.58326,1.19485,-0.490059
106,3.69229,-0.355748,11.3053,5.67968,1.17756,-1.45772
107,3.61819,-0.384776,11.5877,5.8295,1.01435,-0.945481
108,3.52455,-0.824089,12.1997,6.01924,0.809537,-0.704721
109,3.80491,-0.977575,12.5608,6.11749,1.01181,-2.7802
110,3.71142,-1.31014,13.5295,6.3913,1.25172,-4.20546
111,3.78223,-1.67784,14.1248,6.49169,1.53877,-5.84694
112,3.74671,-2.03147,14.9781,6.65953,2.31152,-9.08842
113,3.62205,-2.26658,15.4174,6.90759,2.10302,-7.91706
114,3.52786,-2.56422,15.9801,7.21194,1.98288,-6.78292
115,3.39469,-2.49787,16.5694,7.44885,2.42657,-8.01131
116,3.51921,-2.43722,16.8712,7.90467,2.32428,-7.23855
117,3.63134,-2.50265,16.9907,8.17593,1.72396,-4.92553
118,3.61802,-2.36048,17.1611,8.35235,1.34225,-3.39104
119,4.31227,-1.97456,17.5258,8.67745,0.398184,-0.404607
120,4.55244,-1.83303,18.2001,9.0088,-0.156846,1.6206
121,4.81339,-2.21105,18.4017,9.0933,-0.0665641,1.08993
122,5.03856,-2.13843,18.7092,9.24109,0.24157,-0.438668
123,5.02627,-2.34977,19.1042,9.38267,0.636608,-2.47694
124,4.70153,-2.67009,19.3927,9.45386,0.731735,-2.77323
125,4.37387,-2.5794,20.1613,9.6071,0.924606,-3.41463
126,4.12069,-2.73823,20.2306,9.49698,0.745332,-2.38324
127,4.23853,-2.66063,20.152,9.3455,0.353441,-0.705134
128,4.12973,-2.43731,20.2915,9.2785,-0.0882546,1.76463
129,4.01883,-2.52075,20.2266,9.05716,0.0605823,2.07465
130,4.01412,-2.37996,20.1843,9.07651,-0.16467,3.35388
131,4.28033,-2.67642,20.4192,8.93759,0.87191,-0.235718
